siteID,namedLocation,flightdate,aos_match,days_diff,analyte,avg,sd,n
PRLA,PRLA.AOS.buoy.c0,2017-06-21,2017-06-08,13,TDS,910.1,NA,1
PRLA,PRLA.AOS.buoy.c0,2017-06-21,2017-06-08,13,TSS,32,NA,1
PRLA,PRLA.AOS.buoy.c0,2017-06-26,2017-07-06,10,TDS,888.1633333333333,2.8413787732953497,3
PRLA,PRLA.AOS.buoy.c0,2017-06-26,2017-07-06,10,TSS,9.333333333333334,0.5773502691896257,3
PRLA,PRLA.AOS.buoy.c0,2019-07-26,2019-08-06,11,TDS,744.6,NA,1
PRLA,PRLA.AOS.buoy.c0,2019-07-26,2019-08-06,11,TSS,10,NA,1
PRLA,PRLA.AOS.buoy.c0,2019-07-27,2019-08-06,10,TDS,744.6,NA,1
PRLA,PRLA.AOS.buoy.c0,2019-07-27,2019-08-06,10,TSS,10,NA,1
PRLA,PRLA.AOS.buoy.c0,2019-07-30,2019-08-06,7,TDS,744.6,NA,1
PRLA,PRLA.AOS.buoy.c0,2019-07-30,2019-08-06,7,TSS,10,NA,1
